,,,,
炉石传说,爐石戰記,,,
服务器,伺服器,,,
卡牌,卡片,,,
牌组,套牌,,,
卡组,套牌,,,
潜行者,盜賊,,,
随从,手下,,,
职业,英雄,,,
圣盾,聖盾術,,,
亡语,死亡之聲,,,
激怒,狂怒,,,
过载,超載,,,
抉择,二選一,,,
奥秘,秘密,,,
软件,軟體,,,
程序,程式,,,
文件,檔案,,,
段位,階級,,,
,,,,
次级治疗术,次級治療術,,,
闪金镇步兵,閃金鎮步卒,,,
沼泽爬行者,沼地蠕行者,,,
神圣新星,神聖新星,,,
精神控制,精神控制,,,
精神控制,精神控制,,,
心灵之火,心靈之火,,,
心灵之火,心靈之火,,,
神圣惩击,聖光懲擊,,,
心灵视界,心靈幻象,,,
真言术：盾,真言術:盾,,,
真言术：盾,真言術:盾,,,
爪击,爪擊,,,
爪击,爪擊,,,
治疗之触,治療之觸,,,
月火术,月火術,,,
野性印记,野性印記,,,
野性印记,野性印記,,,
野蛮咆哮,兇蠻咆哮,,,
野蛮咆哮,兇蠻咆哮,,,
横扫,揮擊,,,
野性成长,野性成長,,,
法力过剩,法力溢出,,,
变形,變身,,,
利爪,利爪,,,
变形术,變形術,,,
变形术,變形術,,,
奥术智慧,秘法智力,,,
寒冰箭,寒冰箭,,,
魔爆术,魔爆術,,,
冰霜新星,冰霜新星,,,
镜像,鏡像,,,
暴风雪,暴風雪,,,
火球术,火球術,,,
冰枪术,冰霜長矛,,,
烈焰风暴,烈焰風暴,,,
水元素,水元素,,,
火焰冲击,火焰衝擊,,,
冰霜震击,冰霜震擊,,,
先祖之魂,先祖之魂,,,
先祖之魂,先祖之魂,,,
风怒,風怒,,,
先祖治疗,先祖治療,,,
先祖眷顾,先祖灌注,,,
火元素,火元素,,,
石化武器,石化武器,,,
石化武器,石化武器,,,
嗜血,嗜血術,,,
嗜血,嗜血術,,,
图腾召唤,召喚圖騰,,,
灼热图腾,灼熱圖騰,,,
石爪图腾,石爪圖騰,,,
空气之怒图腾,風懲圖騰,,,
视界术,視界術,,,
视界术,視界術,,,
生命分流,生命分流,,,
暗影箭,暗影箭,,,
鲜血小鬼,血之小鬼,,,
血之契印,血之契印,,,
吸取生命,吸取生命,,,
地狱烈焰,地獄烈焰,,,
腐蚀术,腐蝕術,,,
腐蚀术,腐蝕術,,,
恐惧地狱火,恐怖的煉獄火,,,
虚空行者,虛無行者,,,
背刺,背刺,,,
冷血,冷血,,,
冷血,冷血,,,
冷血,冷血,,,
